2025-11-13T19:51:48.668 Device 7 | Lap 52 | Lap Time 0:28.110 | CumulativeField 127s | Avg Lap 0:41.941
2025-11-13T19:52:01.838 Device 27 | Lap 53 | Lap Time 0:38.370 | CumulativeField 164s | Avg Lap 0:38.370
2025-11-13T19:52:06.698 Device 22 | Lap 54 | Lap Time 1:16.380 | CumulativeField 136s | Avg Lap 3:44.829
2025-11-13T19:52:14.048 Device 79 | Lap 55 | Lap Time 0:33.990 | CumulativeField 97s | Avg Lap 1:07.470
2025-11-13T19:52:37.778 Device 27 | Lap 56 | Lap Time 0:35.939 | CumulativeField 170s | Avg Lap 0:37.154
2025-11-13T19:52:46.268 Device 79 | Lap 57 | Lap Time 0:32.220 | CumulativeField 250s | Avg Lap 0:58.657
2025-11-13T19:52:50.169 Device 22 | Lap 58 | Lap Time 0:43.470 | CumulativeField 129s | Avg Lap 3:08.557
2025-11-13T19:53:01.899 Device 45 | Lap 59 | Lap Time — | CumulativeField 16s | Avg Lap —
2025-11-13T19:53:13.058 Device 27 | Lap 60 | Lap Time 0:35.280 | CumulativeField 110s | Avg Lap 0:36.529
2025-11-13T19:53:17.319 Device 79 | Lap 61 | Lap Time 0:31.050 | CumulativeField 25s | Avg Lap 0:53.136
2025-11-13T19:53:32.378 Device 22 | Lap 62 | Lap Time 0:42.209 | CumulativeField 247s | Avg Lap 2:44.166
2025-11-13T19:53:42.999 Device 45 | Lap 63 | Lap Time 0:41.099 | CumulativeField 27s | Avg Lap 0:41.099
2025-11-13T19:53:47.889 Device 27 | Lap 64 | Lap Time 0:34.830 | CumulativeField 5s | Avg Lap 0:36.104
2025-11-13T19:53:49.480 Device 79 | Lap 65 | Lap Time 0:32.160 | CumulativeField 165s | Avg Lap 0:49.640
2025-11-13T19:54:00.189 Device 26 | Lap 66 | Lap Time 3:32.072 | CumulativeField 206s | Avg Lap 0:49.808
2025-11-13T19:54:21.399 Device 79 | Lap 67 | Lap Time 0:31.919 | CumulativeField 24s | Avg Lap 0:47.108
2025-11-13T19:54:23.259 Device 27 | Lap 68 | Lap Time 0:35.370 | CumulativeField 211s | Avg Lap 0:35.957
2025-11-13T19:54:33.429 Device 26 | Lap 69 | Lap Time 0:33.240 | CumulativeField 203s | Avg Lap 0:48.427
2025-11-13T19:54:36.069 Device 45 | Lap 70 | Lap Time 0:53.070 | CumulativeField 212s | Avg Lap 0:47.084
